Epoch 0048 | Time 2.704 (2.552) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9992 | Test Acc 0.9959
Epoch 0049 | Time 2.563 (2.550) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9993 | Test Acc 0.9957
Epoch 0050 | Time 2.430 (2.550) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9989 | Test Acc 0.9943
Epoch 0051 | Time 2.555 (2.551) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9993 | Test Acc 0.9949
Epoch 0052 | Time 2.619 (2.560) | NFE-F 26.1 | NFE-B 20.0 | Train Acc 0.9991 | Test Acc 0.9949
Epoch 0053 | Time 2.796 (2.552) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9987 | Test Acc 0.9943
Epoch 0054 | Time 2.896 (2.551) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9995 | Test Acc 0.9958
Epoch 0055 | Time 2.864 (2.548) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9993 | Test Acc 0.9947
Epoch 0056 | Time 2.856 (2.550) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9992 | Test Acc 0.9947
Epoch 0057 | Time 2.869 (2.551) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9995 | Test Acc 0.9959
Epoch 0058 | Time 2.771 (2.548) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9994 | Test Acc 0.9961
Epoch 0059 | Time 2.634 (2.550) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9992 | Test Acc 0.9948
Epoch 0060 | Time 2.642 (2.546) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9986 | Test Acc 0.9946
Epoch 0061 | Time 2.911 (2.548) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9996 | Test Acc 0.9959
Epoch 0062 | Time 2.677 (2.549) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9997 | Test Acc 0.9958
Epoch 0063 | Time 2.830 (2.549) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9998 | Test Acc 0.9959
Epoch 0064 | Time 2.821 (2.548) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9998 | Test Acc 0.9958
Epoch 0065 | Time 2.847 (2.548) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9998 | Test Acc 0.9956
Epoch 0066 | Time 2.869 (2.581) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0067 | Time 2.884 (2.548) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0068 | Time 2.886 (2.547) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9998 | Test Acc 0.9956
Epoch 0069 | Time 1.336 (1.457) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9998 | Test Acc 0.9957
Epoch 0070 | Time 1.424 (1.395) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9998 | Test Acc 0.9955
Epoch 0071 | Time 1.652 (1.392) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0072 | Time 0.207 (0.135) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0073 | Time 0.213 (0.074) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9998 | Test Acc 0.9955
Epoch 0074 | Time 0.361 (0.085) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0075 | Time 0.173 (0.085) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9959
Epoch 0076 | Time 0.494 (0.099) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9959
Epoch 0077 | Time 0.178 (0.088) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0078 | Time 0.220 (0.102) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0079 | Time 0.352 (0.099) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9954
Epoch 0080 | Time 0.221 (0.104) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0081 | Time 0.171 (0.089) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0082 | Time 0.180 (0.068) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0083 | Time 0.184 (0.095) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0084 | Time 0.204 (0.103) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9959
Epoch 0085 | Time 0.187 (0.092) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9959
Epoch 0086 | Time 0.197 (0.097) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9959
Epoch 0087 | Time 1.325 (1.234) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0088 | Time 1.765 (1.390) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0089 | Time 1.322 (1.382) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0090 | Time 1.335 (1.396) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9959
Epoch 0091 | Time 1.307 (1.401) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0092 | Time 1.802 (1.415) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9955
Epoch 0093 | Time 1.519 (1.411) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0094 | Time 1.747 (1.415) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0095 | Time 1.597 (1.412) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0096 | Time 1.404 (1.454) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9954
Epoch 0097 | Time 1.708 (1.505) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0098 | Time 1.434 (1.532) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9955
Epoch 0099 | Time 1.856 (1.530) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0100 | Time 1.411 (1.515) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9959
Epoch 0101 | Time 1.522 (1.507) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9959
Epoch 0102 | Time 1.852 (1.517) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9959
Epoch 0103 | Time 1.614 (1.503) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9959
Epoch 0104 | Time 1.758 (1.527) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
